Module No,Module Name,Module Purpose,Function Name,Function Description
1,DIVISION SELECTOR,Toggle antar 14 divisi untuk melihat blok-blok,filterByDivision(division),Filter dan tampilkan blok berdasarkan kode divisi yang dipilih (AME01 AME02 dll)
1,DIVISION SELECTOR,Toggle antar 14 divisi untuk melihat blok-blok,getBlocksByDivision(divisionCode),Mengambil array blok yang termasuk dalam divisi tertentu
2,DIVISION METRICS,Menghitung dan menampilkan metrik level divisi,calculateDivisionMetrics(divisionCode),Menghitung metrik komprehensif (total loss attack rate avg SPH jumlah blok kritis dll) untuk sebuah divisi
2,DIVISION METRICS,Menghitung dan menampilkan metrik level divisi,getAllDivisionMetrics(),Mengambil metrik untuk semua 14 divisi sekaligus
2,DIVISION METRICS,Menghitung dan menampilkan metrik level divisi,getDivisionMetrics(divisionCode),Mengambil metrik dari cache atau hitung jika belum ada
2,DIVISION METRICS,Menghitung dan menampilkan metrik level divisi,updateDivisionSummary(divisionCode),Update tampilan UI summary divisi (grafik bar statistik dll)
3,HISTORICAL TRENDS CHART,Menampilkan chart tren historis 6 tahun (2023-2028) dengan proyeksi,renderHistoricalTrendsChart(divisionCode metrics),Render chart dual Y-axis dengan Loss (Miliar Rp) + Attack Rate (%) untuk divisi tertentu
3,HISTORICAL TRENDS CHART,Menampilkan chart tren historis 6 tahun (2023-2028) dengan proyeksi,showHistoricalDataModal(year),Menampilkan popup modal dengan tabel detail data ketika klik pada titik chart
3,HISTORICAL TRENDS CHART,Menampilkan chart tren historis 6 tahun (2023-2028) dengan proyeksi,closeHistoricalDataModal(),Menutup popup modal historical data
4,PAPARAN RISIKO,Menampilkan ringkasan risiko dan blok-blok kritis,updatePaparanRisiko(metrics),Update section paparan risiko dengan data metrik
4,PAPARAN RISIKO,Menampilkan ringkasan risiko dan blok-blok kritis,renderPaparanRisk(divisionCode),Render visualisasi risiko untuk divisi
4,PAPARAN RISIKO,Menampilkan ringkasan risiko dan blok-blok kritis,openPaparanRisikoModal(divisionCode),Membuka modal detail paparan risiko
4,PAPARAN RISIKO,Menampilkan ringkasan risiko dan blok-blok kritis,closePaparanRisikoModal(),Menutup modal paparan risiko
4,PAPARAN RISIKO,Menampilkan ringkasan risiko dan blok-blok kritis,renderModalChart(blocks sortBy),Render chart dalam modal (bar chart blok-blok kritis)
4,PAPARAN RISIKO,Menampilkan ringkasan risiko dan blok-blok kritis,sortModalChart(sortBy),Sort ulang chart modal berdasarkan metrik (AR Loss Gap)
5,BLOCK BREAKDOWN,Analisis detail per-blok individual,openBlockBreakdownModal(divisionCode),Membuka modal kategorisasi blok untuk divisi
5,BLOCK BREAKDOWN,Analisis detail per-blok individual,closeBlockBreakdownModal(),Menutup modal breakdown blok
