divisi,blok,blok_b,t_tanam,n_baris,n_pokok,objectid,ndre125,klassndre12025,ket
AME II,D01,D001A,2009,1,1,167903,0.386189026,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,1,2,167913,0.423064375,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,3,167935,0.459512596,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,4,167951,0.421125016,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,5,167953,0.428639805,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,6,167966,0.41290828,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,7,167974,0.413922111,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,8,167978,0.411384443,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,9,167979,0.441453712,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,10,167992,0.473395387,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,11,168019,0.422901823,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,12,168007,0.449509463,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,13,168006,0.406110115,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,14,168025,0.439446607,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,15,168034,0.433504659,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,16,168046,0.442732814,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,17,168059,0.430167366,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,18,168060,0.408815064,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,19,168061,0.409462691,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,20,168062,0.417555979,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,21,168063,0.449376008,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,22,168064,0.410609981,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,23,168065,0.458042563,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,24,168066,0.415526366,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,25,168067,0.44068242,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,26,168068,0.413392115,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,1,167904,0.435173009,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,2,167905,0.451324803,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,3,167912,0.447607323,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,4,167915,0.443343562,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,5,167914,0.449969214,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,6,167934,0.392503965,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,2,7,167954,0.413378225,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,8,167968,0.453290328,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,9,167972,0.426276263,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,10,167975,0.460617823,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,11,167976,0.435258586,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,12,167977,0.416730705,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,13,167980,0.473652336,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,14,167981,0.422184121,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,15,167993,0.473211066,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,16,167994,0.48597751,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,17,168020,0.462575059,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,18,168022,0.459818031,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,19,168021,0.444023561,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,20,168009,0.439184829,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,21,168008,0.430766009,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,22,168026,0.470320585,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,23,168036,0.430180879,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,24,168035,0.434742579,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,25,168047,0.454729792,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,26,136589,0.424042283,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,27,136588,0.47740474,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,28,168082,0.434242347,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,29,168078,0.452339687,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,30,168079,0.467348922,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,31,168076,0.43139008,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,32,168077,0.450448787,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,33,168075,0.4719939,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,34,168073,0.457951576,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,35,168072,0.447134776,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,36,168071,0.454356193,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,2,37,168069,0.427855748,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,1,167906,0.416447001,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,2,167911,0.405076267,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,3,167916,0.422769359,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,4,167937,0.429315558,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,5,167938,0.388341307,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,3,6,167956,0.421119542,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,7,167969,0.441077823,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,8,167971,0.376240787,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,3,9,167982,0.426428666,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,10,167991,0.418275868,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,11,167995,0.469968767,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,12,168023,0.460660218,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,13,168010,0.401052434,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,14,168038,0.397777471,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,3,15,168027,0.428686718,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,16,168037,0.419563235,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,17,168049,0.443775063,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,18,136592,0.465833421,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,19,136591,0.453129711,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,20,136601,0.506033113,Stres Ringan,Pokok Utama
AME II,D01,D001A,2009,3,21,136602,0.458859685,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,22,136603,0.509927219,Stres Ringan,Pokok Utama
AME II,D01,D001A,2009,3,23,136614,0.418700772,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,24,136623,0.402823937,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,25,136638,0.401494925,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,26,168080,0.42066451,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,27,136639,0.454072967,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,28,136647,0.406153046,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,29,136656,0.453292498,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,30,168074,0.46047059,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,31,136671,0.475911602,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,32,136669,0.433978497,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,33,136667,0.424328178,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,3,34,168070,0.425224681,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,1,167907,0.450261776,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,2,167909,0.424581589,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,3,167910,0.426062578,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,4,167932,0.46307867,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,5,167939,0.441763651,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,6,167941,0.470301199,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,7,167970,0.446939615,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,8,167984,0.425410336,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,9,167983,0.440415678,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,10,167996,0.458132353,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,11,168011,0.451989276,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,12,168029,0.426937548,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,13,168039,0.444168153,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,14,136593,0.453454406,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,15,136600,0.441451617,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,16,136604,0.493376845,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,17,136616,0.47428325,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,18,136615,0.444470886,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,19,136624,0.430338487,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,20,136640,0.425969376,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,21,136648,0.436681587,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,22,136657,0.434838372,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,23,136672,0.474688685,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,24,136670,0.475856314,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,4,25,136668,0.418713505,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,1,167908,0.451608583,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,2,167918,0.455760181,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,3,167919,0.471740248,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,4,167931,0.450720917,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,5,167940,0.44468501,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,6,167942,0.480155479,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,7,167958,0.426084316,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,8,167959,0.405834811,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,9,167985,0.445370521,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,10,167997,0.460157596,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,11,168012,0.471354277,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,12,168030,0.464971296,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,13,168052,0.423678519,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,14,136594,0.417990162,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,15,136605,0.491612309,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,16,136625,0.441205327,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,17,136637,0.41371455,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,18,358578,0.449649311,Stres Sedang,Tamb
AME II,D01,D001A,2009,5,19,136649,0.435314565,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,20,136658,0.443547072,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,21,136676,0.473265653,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,22,136673,0.422235915,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,5,23,136684,0.393135177,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,5,24,136680,0.422193059,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,1,167858,0.442148423,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,2,167872,0.436310222,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,3,167874,0.433971376,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,4,167930,0.441341582,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,6,5,167929,0.446903139,Stres Sedang,Pokok Utama
