Rank,Block,Attack_Rate,Total_Pohon,Merah,Oranye,SPH,TT,Age,Potensi_Ton_Ha,Realisasi_Ton_Ha,Gap_Ton_Ha,Gap_Pct
1,E009A,12.6,2671,55,281,39,2009,17,N/A,N/A,N/A,N/A
2,D004A,10.7,2861,122,183,119,2009,17,N/A,N/A,N/A,N/A
3,E004A,9.5,2569,69,175,117,2009,17,N/A,N/A,N/A,N/A
4,F001A,8.8,2500,75,146,73,2009,17,N/A,N/A,N/A,N/A
5,E002A,8.3,2854,99,139,133,2009,17,N/A,N/A,N/A,N/A
6,F002A,8.1,2147,54,120,132,2009,17,N/A,N/A,N/A,N/A
7,F008A,8.0,3770,90,210,125,2008,18,19.52,21.22,1.7,8.7
8,F012A,7.8,3435,102,166,88,2009,17,N/A,N/A,N/A,N/A
9,F007A,7.7,2472,64,127,76,2008,18,N/A,N/A,N/A,N/A
10,D001A,7.5,3486,87,176,108,2009,17,22.13,17.42,-4.71,-21.3
11,D011A,7.4,2145,46,112,96,2009,17,N/A,N/A,N/A,N/A
12,F004A,7.4,1695,42,83,127,2009,17,N/A,N/A,N/A,N/A
13,D003A,7.2,3131,77,148,98,2009,17,N/A,N/A,N/A,N/A
14,D010A,7.1,2574,62,121,8,2009,17,N/A,N/A,N/A,N/A
15,E011A,7.1,2639,85,102,71,2009,17,N/A,N/A,N/A,N/A
16,E003A,6.8,2797,59,132,99,2009,17,N/A,N/A,N/A,N/A
17,E006A,6.8,2667,45,137,104,2009,17,N/A,N/A,N/A,N/A
18,F003A,6.8,1667,38,76,124,2009,17,N/A,N/A,N/A,N/A
19,D009A,6.7,2594,53,120,111,2009,17,N/A,N/A,N/A,N/A
20,E007A,6.5,2523,44,119,62,2009,17,N/A,N/A,N/A,N/A
21,F006A,6.5,2963,47,145,111,2008,18,N/A,N/A,N/A,N/A
22,E001A,6.4,3008,69,123,95,2009,17,N/A,N/A,N/A,N/A
23,D007A,6.3,2586,57,107,94,2009,17,N/A,N/A,N/A,N/A
24,D012A,6.1,2603,40,119,118,2009,17,N/A,N/A,N/A,N/A
25,D002A,5.9,3182,50,138,125,2009,17,N/A,N/A,N/A,N/A
26,E012A,5.4,2578,36,103,83,2009,17,N/A,N/A,N/A,N/A
27,D005A,5.3,2394,45,83,87,2009,17,N/A,N/A,N/A,N/A
28,E010A,5.0,2471,40,84,87,2009,17,N/A,N/A,N/A,N/A
29,D006A,4.9,2382,37,80,85,2009,17,N/A,N/A,N/A,N/A
30,E008A,4.9,2733,48,87,67,2009,17,N/A,N/A,N/A,N/A
31,F005A,4.5,2447,28,82,119,2009,17,N/A,N/A,N/A,N/A
32,F009A,4.1,2579,27,80,68,2009,17,N/A,N/A,N/A,N/A
33,F010A,4.0,3443,48,91,77,2009,17,N/A,N/A,N/A,N/A
34,F011A,4.0,2875,38,77,72,2009,17,N/A,N/A,N/A,N/A
35,D008A,3.8,2524,23,72,101,2009,17,N/A,N/A,N/A,N/A
36,E005A,3.7,2595,26,69,98,2009,17,N/A,N/A,N/A,N/A
