ESTATE,DIVISI,BLOK,TT,LUAS TANAM, TOTAL PKK ,SPH,HASIL SENSUS GANODERMA (PKK),,,% SERANGAN,YANG SUDAH REALISASI APLIKASI CHIPS,
,,,,,,,,,,,,
,,,,,,,STADIUM 1 & 2,STADIUM 3 & 4, TOTAL ,, HA , PKK 
AME,AME002,D001A,2009, 25.8 ," 3,484 ", 135 , 93 , 13 , 106 ,3.0%,,
AME,AME002,D002A,2009, 23.7 ," 3,150 ", 133 , 47 , -   , 47 ,1.5%,,
AME,AME002,D003A,2009, 25.3 ," 3,131 ", 124 , 89 , 11 , 100 ,3.2%,,
AME,AME002,D004A,2009, 22.0 ," 2,841 ", 129 , 51 , 13 , 64 ,2.3%,,
AME,AME002,D005A,2009, 24.1 ," 2,362 ", 98 , 126 , 44 , 170 ,7.2%,,
AME,AME002,D006A,2009, 23.0 ," 2,391 ", 104 , 128 , 32 , 160 ,6.7%,,
AME,AME002,D007A,2009, 24.7 ," 2,598 ", 105 , 90 , 29 , 119 ,4.6%, 24.7 , 119 
AME,AME002,D008A,2009, 25.3 ," 2,539 ", 100 , 256 , 84 , 340 ,13.4%, 25.3 , 340 
AME,AME002,D009A,2009, 24.4 ," 2,614 ", 107 , 95 , 30 , 125 ,4.8%,,
AME,AME002,D010A,2009, 23.7 ," 2,575 ", 109 , 60 , 21 , 81 ,3.1%,,
AME,AME002,D011A,2009, 24.0 ," 2,160 ", 90 , 149 , 24 , 173 ,8.0%,,
AME,AME002,D012A,2009, 26.7 ," 2,611 ", 98 , 115 , 20 , 135 ,5.2%,,
AME,AME002,E001A,2009, 22.5 ," 3,014 ", 134 , 80 , 19 , 99 ,3.3%,,
AME,AME002,E002A,2009, 22.2 ," 2,859 ", 129 , 62 , 12 , 74 ,2.6%, 22.2 , 74 
AME,AME002,E003A,2009, 21.6 ," 2,784 ", 129 , 109 , 22 , 131 ,4.7%, 21.6 , 131 
AME,AME002,E004A,2009, 19.9 ," 2,545 ", 128 , 117 , 30 , 147 ,5.8%, 19.9 , 147 
AME,AME002,E005A,2009, 24.0 ," 2,605 ", 109 , 294 , 72 , 366 ,14.0%, 24.0 , 366 
AME,AME002,E006A,2009, 24.3 ," 2,676 ", 110 , 247 , 78 , 325 ,12.1%, 24.3 , 325 
AME,AME002,E007A,2009, 24.2 ," 2,482 ", 103 , 286 , 68 , 354 ,14.3%, 24.2 , 354 
AME,AME002,E008A,2009, 24.7 ," 2,749 ", 111 , 169 , 51 , 220 ,8.0%, 24.7 , 220 
AME,AME002,E009A,2009, 23.7 ," 2,695 ", 114 , 86 , 34 , 120 ,4.5%,,
AME,AME002,E010A,2009, 25.6 ," 2,496 ", 98 , 140 , 67 , 207 ,8.3%, 25.6 , 207 
AME,AME002,E011A,2009, 24.3 ," 2,652 ", 109 , 165 , 39 , 204 ,7.7%,,
AME,AME002,E012A,2009, 25.4 ," 2,589 ", 102 , 233 , 62 , 295 ,11.4%, 25.4 , 295 
