REAL TANAM INTI,,,,,,,,,,,,,,,,
UPDATE NOVEMBER 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ESTATE,,,,TT,HA STATEMENT,,,,,,,,SERANGAN GANODERMA (PKK),,,
LAMA,BARU,BARU,BARU,,LUAS TANAM,,,TOTAL,,,TOTAL PKK,SPH,STADIUM 1&2,STADIUM 3&4,TOTAL,%SERANGAN
,,,,,SD THN 2024,PENAMBAHAN,SD 2025,TANAM,SISIP,SISIP KENTOSAN,,,,,,
,,,,,,,,,,,,,,,,
AME,AME,AME002,D001A,2009, 25.8 ,, 25.8 , 641 ," 2,843 ", -   ," 3,484 ", 135 , 93 , 13 , 106 ,3.04%
AME,AME,AME002,D002A,2009, 23.7 ,, 23.7 , 562 ," 2,588 ", -   ," 3,150 ", 133 , 47 , -   , 47 ,1.49%
AME,AME,AME002,D003A,2009, 25.3 ,, 25.3 , 555 ," 2,576 ", -   ," 3,131 ", 124 , 89 , 11 , 100 ,3.19%
AME,AME,AME002,D004A,2009, 22.0 ,, 22.0 , 153 ," 2,688 ", -   ," 2,841 ", 129 , 51 , 13 , 64 ,2.25%
AME,AME,AME002,D005A,2009, 24.1 ,, 24.1 ," 2,200 ", 162 , -   ," 2,362 ", 98 , 126 , 44 , 170 ,7.20%
AME,AME,AME002,D006A,2009, 23.0 ,, 23.0 ," 2,070 ", 321 , -   ," 2,391 ", 104 , 128 , 32 , 160 ,6.69%
AME,AME,AME002,D007A,2009, 24.7 ,, 24.7 ," 1,934 ", 664 , -   ," 2,598 ", 105 , 90 , 29 , 119 ,4.58%
AME,AME,AME002,D008A,2009, 25.3 ,, 25.3 ," 2,374 ", 165 , -   ," 2,539 ", 100 , 256 , 84 , 340 ,13.39%
AME,AME,AME002,D009A,2009, 24.4 ,, 24.4 ," 1,783 ", 831 , -   ," 2,614 ", 107 , 95 , 30 , 125 ,4.78%
AME,AME,AME002,D010A,2009, 23.7 ,, 23.7 ," 1,622 ", 953 , -   ," 2,575 ", 109 , 60 , 21 , 81 ,3.15%
AME,AME,AME002,D011A,2009, 24.0 ,, 24.0 ," 1,723 ", 437 , -   ," 2,160 ", 90 , 149 , 24 , 173 ,8.01%
AME,AME,AME002,D012A,2009, 26.7 ,, 26.7 ," 2,028 ", 583 , -   ," 2,611 ", 98 , 115 , 20 , 135 ,5.17%
AME,AME,AME002,E001A,2009, 22.5 ,, 22.5 , 902 ," 2,112 ", -   ," 3,014 ", 134 , 80 , 19 , 99 ,3.28%
AME,AME,AME002,E002A,2009, 22.2 ,, 22.2 ," 1,080 "," 1,779 ", -   ," 2,859 ", 129 , 62 , 12 , 74 ,2.59%
AME,AME,AME002,E003A,2009, 21.6 ,, 21.6 ," 1,925 ", 859 , -   ," 2,784 ", 129 , 109 , 22 , 131 ,4.71%
AME,AME,AME002,E004A,2009, 19.9 ,, 19.9 ," 2,269 ", 276 , -   ," 2,545 ", 128 , 117 , 30 , 147 ,5.78%
AME,AME,AME002,E005A,2009, 24.0 ,, 24.0 ," 2,256 ", 349 , -   ," 2,605 ", 109 , 294 , 72 , 366 ,14.05%
AME,AME,AME002,E006A,2009, 24.3 ,, 24.3 ," 2,312 ", 364 , -   ," 2,676 ", 110 , 247 , 78 , 325 ,12.14%
AME,AME,AME002,E007A,2009, 24.2 ,, 24.2 ," 1,957 ", 525 , -   ," 2,482 ", 103 , 286 , 68 , 354 ,14.26%
AME,AME,AME002,E008A,2009, 24.7 ,, 24.7 ," 2,592 ", 144 , 13 ," 2,749 ", 111 , 169 , 51 , 220 ,8.00%
AME,AME,AME002,E009A,2009, 23.7 ,, 23.7 , 922 ," 1,773 ", -   ," 2,695 ", 114 , 86 , 34 , 120 ,4.45%
AME,AME,AME002,E010A,2009, 25.6 ,, 25.6 ," 1,907 ", 589 , -   ," 2,496 ", 98 , 140 , 67 , 207 ,8.29%
AME,AME,AME002,E011A,2009, 24.3 ,, 24.3 , 361 ," 2,291 ", -   ," 2,652 ", 109 , 165 , 39 , 204 ,7.69%
AME,AME,AME002,E012A,2009, 25.4 ,, 25.4 , 694 ," 1,895 ", -   ," 2,589 ", 102 , 233 , 62 , 295 ,11.39%
AME,AME,AME002,F001A,2009, 17.9 ,, 17.9 ," 2,096 ", 407 , -   ," 2,503 ", 140 , 61 , 9 , 70 ,2.80%
AME,AME,AME002,F002A,2009, 15.2 ,, 15.2 ," 1,268 ", 873 , -   ," 2,141 ", 141 , 30 , 9 , 39 ,1.82%
AME,AME,AME002,F003A,2009, 12.2 ,, 12.2 , 977 , 693 , -   ," 1,670 ", 137 , 47 , 9 , 56 ,3.35%
AME,AME,AME002,F004A,2009, 12.0 ,, 12.0 ," 1,541 ", 156 , -   ," 1,697 ", 141 , 25 , 2 , 27 ,1.59%
AME,AME,AME002,F005A,2009, 20.5 ,, 20.5 ," 2,030 ", 409 , -   ," 2,439 ", 119 , 80 , 40 , 120 ,4.92%
AME,AME,AME002,F006A,2008, 24.9 ,, 24.9 ," 2,493 ", 465 , -   ," 2,958 ", 119 , 146 , 25 , 171 ,5.78%
AME,AME,AME002,F007A,2008, 20.2 ,, 20.2 ," 2,212 ", 243 , -   ," 2,455 ", 122 , 105 , 25 , 130 ,5.30%
AME,AME,AME002,F008A,2008, 29.6 ,, 29.6 ," 3,603 ", 142 , -   ," 3,745 ", 127 , 158 , 46 , 204 ,5.45%
AME,AME,AME002,F009A,2009, 25.2 ,, 25.2 ," 1,852 ", 751 , -   ," 2,603 ", 103 , 225 , 73 , 298 ,11.45%
AME,AME,AME002,F010A,2009, 25.0 ,, 25.0 ," 2,021 ", 763 , -   ," 2,784 ", 111 , 195 , 48 , 243 ,8.73%
AME,AME,AME002,F011A,2009, 20.5 ,, 20.5 ," 1,512 ", 912 , -   ," 2,424 ", 118 , 193 , 31 , 224 ,9.24%
AME,AME,AME002,F012A,2009, 24.7 ,, 24.7 ," 2,578 ", 456 , -   ," 3,034 ", 123 , 181 , 44 , 225 ,7.42%
AME,AME,AME004,A012A,2016, 3.1 ,, 3.1 , 235 , 172 , -   , 407 , 131 , -   , -   , -   ,0.00%
AME,AME,AME004,A012B,2018, 5.7 ,, 5.7 , 377 , 428 , -   , 805 , 141 , -   , -   , -   ,0.00%
AME,AME,AME004,A012C,2021, 0.3 ,, 0.3 , 37 , 4 , -   , 41 , 137 , -   , -   , -   ,0.00%
AME,AME,AME004,A012D,0, - ,, - , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%
AME,AME,AME004,A013A,2016, 0.3 ,, 0.3 , 11 , 10 , -   , 21 , 70 , -   , -   , -   ,0.00%
AME,AME,AME004,A013B,2018, 8.1 ,, 8.1 ," 1,157 ", 49 , -   ," 1,206 ", 149 , 1 , -   , 1 ,0.08%
AME,AME,AME004,A013C,2020, 0.1 ,, 0.1 , 7 , -   , -   , 7 , 70 , -   , -   , -   ,0.00%
AME,AME,AME004,A013D,2021, 1.9 ,, 1.9 , 205 , 19 , -   , 224 , 118 , -   , -   , -   ,0.00%
AME,AME,AME004,A013E,0, - ,, - , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%
AME,AME,AME004,A014A,2017, 8.7 ,, 8.7 ," 1,218 ", -   , 28 ," 1,246 ", 143 , 1 , -   , 1 ,0.08%
AME,AME,AME004,A014B,2018, 4.3 ,, 4.3 , 583 , 37 , -   , 620 , 144 , -   , -   , -   ,0.00%
AME,AME,AME004,A014C,2020, 0.8 ,, 0.8 , 104 , 11 , -   , 115 , 144 , -   , -   , -   ,0.00%
AME,AME,AME004,A014D,0, - ,, - , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%
AME,AME,AME004,A018A,2013, 3.7 ,, 3.7 , 61 , 424 , -   , 485 , 131 , 1 , -   , 1 ,0.21%
AME,AME,AME004,A018B,2018, 1.2 ,, 1.2 , 103 , 12 , -   , 115 , 96 , -   , -   , -   ,0.00%
AME,AME,AME004,A018C,2022, 1.9 ,, 1.9 , 223 , 26 , -   , 249 , 131 , -   , -   , -   ,0.00%
AME,AME,AME004,A019A,2013, 10.4 ,, 10.4 , 669 , 568 , -   ," 1,237 ", 119 , 65 , 22 , 87 ,7.03%
AME,AME,AME004,A019B,2017, 3.0 ,, 3.0 , 392 , 17 , -   , 409 , 136 , -   , -   , -   ,0.00%
AME,AME,AME004,A019C,2019, 2.7 ,, 2.7 , 301 , 93 , -   , 394 , 146 , -   , -   , -   ,0.00%
